,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1344,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA
ASV_1345,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_1346,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1347,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA,NA
ASV_1348,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1349,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA
ASV_1350,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA
ASV_1351,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1352,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,BD2-7,NA,NA
ASV_1353,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA
ASV_1354,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1355,Bacteria,Acidobacteriota,Subgroup_21,NA,NA,NA,NA
ASV_1356,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
ASV_1357,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,NA,NA,NA
ASV_1358,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA,NA
ASV_1359,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
ASV_1360,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,wb1-A12,NA
ASV_1361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
ASV_1362,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1363,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,NA
ASV_1364,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
ASV_1365,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV_1366,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV_1367,Bacteria,Acidobacteriota,Subgroup_21,NA,NA,NA,NA
ASV_1368,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
ASV_1369,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
ASV_1370,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,NA,NA,NA
ASV_1371,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA
ASV_1372,Bacteria,NB1-j,NA,NA,NA,NA,NA
ASV_1373,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
ASV_1374,Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,NA,NA,NA
ASV_1375,Bacteria,Acidobacteriota,Subgroup_26,NA,NA,NA,NA
