,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00042433,0.00042493,0.00028373,0.00014162,0,0.00014156,0
sp2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0,0,0,0,0,0,0,0
sp2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0,0,0,0,0.00028373,0,0.00014156,0.00014156,0
sp2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0.00028289,0,0,0,0,0.00014156,0
sp2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2910,0.00182918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00056577,0.00042493,0,0.00014162,0,0.00014156,0
sp2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028373,0,0,0,0
sp2915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0,0,0,0,0
sp2916,0,0,0,0,0,0.00140588,0,0,0,0,0,0,0.00070254,0.00126654,0,0,0,0,0,0,0,0,0,0,0,0
sp2917,0,0,0,0,0,0,0,0,0,0,0,0,0.00112407,0.00394033,0,0,0,0,0,0,0,0,0,0,0,0
sp2918,0.00070353,0,0.00168705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014144,0.00028329,0.00042559,0.00014162,0,0.00056625,0.00014134
sp2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0.00014144,0,0,0,0,0,0
sp2924,0,0,0,0.00098467,0.00112423,0,0,0,0,0,0.00084293,0.00126404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0.00028373,0,0,0,0
sp2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0,0.00028325,0,0,0
sp2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0,0,0,0,0
sp2930,0.00084424,0.00014059,0,0,0.00112423,0,0,0,0,0,0,0,0.00014051,0.00084436,0,0,0,0,0,0,0,0,0,0,0,0
sp2931,0,0,0,0,0,0,0,0,0.00028121,0.00014065,0.00014049,0.00042135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2932,0,0.00014059,0.00070294,0.00014067,0,0,0,0,0,0.00028129,0.00028098,0,0,0,0,0,0,0,0,0.00042433,0,0,0.00014162,0.00014156,0,0
sp2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0,0,0.00014186,0.00014162,0,0,0
sp2934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014162,0,0.00014156,0
sp2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0,0.00028329,0.00014186,0.00014162,0.00014156,0.00014156,0
sp2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00042487,0.00028313,0,0
sp2937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267041,0.00182584,0,0,0,0,0,0,0,0,0,0
sp2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042433,0.00028329,0.00014186,0.00014162,0,0,0
sp2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014144,0,0.00014186,0,0,0,0
sp2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113074
sp2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00014162,0,0.00014156,0
sp2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0,0,0,0,0,0,0
sp2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0.00014128,0.00028289,0.00028329,0.00014186,0.00028325,0,0,0.00028269
sp2951,0.00872379,0.00042176,0.00028118,0,0,0,0,0,0,0.00014065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0,0
sp2953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0,0,0,0
sp2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042559,0,0,0,0
sp2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0.00014128,0,0,0,0.00014162,0.00042469,0,0.00014134
sp2956,0.00070353,0.00084353,0.00070294,0,0,0,0,0,0,0.00028129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2957,0.00028141,0,0.00154646,0,0,0,0,0,0,0.00042194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042559,0.00028325,0,0.00014156,0
sp2961,0,0,0,0,0,0,0.00126511,0.00196657,0,0,0,0,0,0,0,0.00014045,0,0,0,0,0,0,0,0,0,0
sp2962,0,0,0,0,0,0.00042176,0.00112454,0.00140469,0,0,0,0,0,0,0.00056219,0.00014045,0,0,0,0,0,0,0,0,0,0
sp2963,0,0,0,0,0,0.00098411,0.00238965,0,0,0,0,0,0,0,0,0.0002809,0,0,0,0,0,0,0,0,0,0
sp2964,0,0,0,0,0,0.00056235,0,0,0,0,0,0,0.00140509,0.00253307,0,0,0,0,0,0,0,0,0,0,0,0
sp2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00196767,0.00126404,0,0,0,0,0,0,0,0,0,0
sp2966,0,0,0,0,0,0,0,0,0,0.00070323,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00042487,0.00042469,0.00028313,0
sp2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00042644,0,0,0.00014164,0,0,0,0,0
sp2968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00071073,0,0,0,0.00042559,0.00056649,0,0,0
sp2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0,0,0.00014186,0,0,0.00028313,0
sp2971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0.00070721,0,0,0,0,0,0.00014134
sp2972,0,0,0,0.001266,0.00154581,0,0,0,0,0,0,0.00182584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0.00014144,0.00014164,0,0,0,0,0
sp2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0.00014156,0
sp2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028325,0,0,0
sp2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0.00028257,0,0,0.00014186,0,0,0,0.00014134
sp2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008477,0.00028289,0.00070822,0,0,0,0,0
sp2979,0.00084424,0.00154646,0,0,0,0,0,0,0.00098425,0.00014065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0,0,0,0
sp2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0.00028289,0.00014164,0,0,0,0,0
sp2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0.00014162,0,0,0
sp2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0,0,0.00028313,0,0
sp2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0,0,0.00014156,0
sp2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0.00056657,0,0,0,0.00014156,0.00028269
sp2989,0,0,0,0,0,0.00281175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2990,0,0,0,0,0,0,0,0.00266891,0,0,0,0,0,0,0,0.0011236,0,0,0,0,0,0,0,0,0,0
sp2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00028429,0,0,0,0,0.00028325,0,0,0
sp2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0.00014128,0,0,0,0,0,0.00014156,0.00014134
sp2993,0,0,0,0.00140667,0.00182687,0,0,0,0,0,0,0.00140449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014144,0,0,0,0,0,0
sp2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00014215,0,0.00014144,0,0,0,0,0,0
sp2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014156,0
sp2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0,0,0.00014156,0,0
sp2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3000,0,0,0.00140588,0,0,0,0,0.00042141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014134
sp3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3003,0.00028141,0.00070294,0,0,0,0,0,0,0.00028121,0,0,0,0,0,0,0,0,0,0.00028257,0,0.00014164,0,0,0.00014156,0,0
sp3004,0,0,0,0,0,0,0.00014057,0.00014047,0,0,0,0,0,0,0.00014055,0,0,0,0,0,0,0,0,0,0,0
sp3005,0,0,0,0,0,0.00084353,0.0004217,0.00098328,0,0,0,0,0,0,0,0.00210674,0,0,0,0,0,0,0,0,0,0
sp3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0.00014144,0,0,0,0,0,0
sp3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056859,0.00014128,0,0,0.00028373,0,0,0,0.00056537
sp3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0.00014144,0,0,0,0,0,0
sp3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028329,0.00028373,0,0,0.00070781,0.00014134
sp3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0,0.00014144,0,0.00028373,0,0.00028313,0.00014156,0
sp3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0,0,0.00014144,0.00014164,0,0,0,0.00028313,0
sp3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0,0,0,0,0,0,0,0,0
sp3015,0.00014071,0.00098411,0,0.00028133,0.00042159,0.00014059,0,0,0.00028121,0.00112518,0.00028098,0.0002809,0.00042153,0.00098508,0,0,0,0,0,0,0,0,0,0,0,0
sp3016,0,0,0,0,0,0.00084353,0.0004217,0.00140469,0,0,0,0,0.00056203,0.00211089,0,0.00014045,0,0,0,0,0,0,0,0,0,0
sp3017,0,0.00140588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3018,0,0,0,0.000844,0.0019674,0,0,0,0,0,0,0.00168539,0.00014051,0.00042218,0,0,0,0,0,0,0,0,0,0,0,0
sp3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00014215,0,0,0,0,0,0,0,0
sp3020,0,0,0,0,0,0,0,0,0,0,0,0,0.0016861,0.00379961,0,0,0,0,0,0,0,0,0,0,0,0
sp3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3022,0,0,0,0,0,0,0.0004217,0.0018261,0,0,0,0,0,0,0.00154603,0.0011236,0,0,0,0,0,0,0,0,0,0
sp3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0.00014144,0,0,0,0,0,0.00014134
sp3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0.00028373,0.00028325,0,0,0
sp3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0,0,0,0.00070781,0.00014156,0.00042403
sp3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3028,0.00070353,0.00056235,0,0,0,0,0,0,0.00281215,0.00140647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3029,0,0.00014059,0,0,0,0,0,0,0.00056243,0.00028129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056657,0,0,0,0,0
sp3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070932,0.00014162,0,0.00084938,0
sp3033,0,0,0.0011247,0,0,0,0,0,0.00056243,0,0.00070244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155411,0.00028289,0.00014164,0,0,0,0.00014156,0.00028269
sp3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0.00014144,0.00084986,0,0,0,0,0
sp3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0.00014164,0.00042559,0,0,0.00056625,0
sp3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042457,0.00028429,0,0,0.00014164,0,0.00014162,0,0,0
sp3039,0,0,0.00042176,0.00056267,0.00042159,0,0,0,0,0,0.00238831,0.00042135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0,0,0,0,0,0,0,0,0
sp3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042403
sp3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0,0,0,0,0.0009894
sp3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3044,0.00084424,0.00014059,0,0,0,0,0,0,0.00098425,0.00112518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3045,0,0,0.00056235,0,0,0,0,0,0,0.00084388,0,0,0,0,0,0,0,0.00014215,0,0,0,0,0,0,0,0
sp3046,0,0,0,0.000844,0.0009837,0,0,0,0,0,0.00295027,0.00154494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3047,0,0,0,0,0,0,0,0.00014047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0,0,0,0,0,0,0,0
sp3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0,0,0.00028373,0,0,0,0
sp3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00042644,0,0.00014144,0.00014164,0.00014186,0,0,0,0
sp3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0,0,0,0,0,0.00084806
sp3055,0,0,0,0,0,0.00070294,0,0,0,0,0,0,0.00070254,0.00098508,0,0,0,0,0,0,0,0,0,0,0,0
sp3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154603,0.00154494,0,0,0,0,0,0,0,0,0,0
sp3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056577,0,0.00056746,0.00014162,0,0.00028313,0.00014134
sp3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014186,0.00014162,0,0.00014156,0
sp3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071073,0,0,0,0,0,0,0.00028313,0
sp3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042644,0,0,0,0,0,0,0,0
sp3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098898,0,0,0,0,0,0.00056625,0.00084806
sp3062,0,0,0,0.000844,0,0,0,0,0,0,0.00280978,0.0002809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3063,0,0,0,0,0,0.00393645,0,0,0,0,0,0,0.00014051,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3064,0,0,0,0,0,0,0,0.00014047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002811,0.00098315,0,0,0,0,0,0,0,0,0,0
sp3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056577,0,0,0,0,0.00014156,0
sp3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0,0.00042433,0.00042493,0,0,0,0,0
sp3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0.00028257,0,0,0.00014186,0.00042487,0.00014156,0.00042469,0
sp3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429,0,0,0,0,0,0,0,0
sp3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014164,0,0,0,0,0
sp3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099066,0,0,0,0,0,0,0,0,0
sp3074,0,0,0,0,0,0.00196823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009901,0.00028329,0.00028373,0.00070811,0,0,0
sp3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00028429,0,0.00014144,0,0,0,0,0,0
sp3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00085288,0,0,0.00014164,0,0,0,0,0
sp3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0,0.00028329,0.00014186,0.00014162,0.00099094,0.00070781,0.0009894
sp3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141283,0,0.00028329,0,0,0.00127407,0,0
sp3083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0,0,0,0,0,0.00028325,0,0.00014156,0
sp3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014156,0.00028313,0
sp3086,0.00014071,0.00042176,0,0,0,0,0,0,0,0,0.00098342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3087,0,0,0,0.000844,0.00210793,0,0,0,0,0,0,0.0011236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3088,0,0,0,0,0,0,0.00028114,0.00098328,0,0,0,0,0,0,0,0.00014045,0,0,0,0,0,0,0,0,0,0
sp3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00014215,0,0,0,0.00014186,0,0,0,0
sp3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0.00028429,0.00028257,0,0.00028329,0.00056746,0.00056649,0.00028313,0.00014156,0
sp3091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028257,0,0.00014164,0.00014186,0,0.00014156,0.00014156,0
sp3092,0,0,0.00042176,0,0,0,0,0,0.00070304,0.00014065,0.00042147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3093,0,0,0,0,0,0.00028118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3094,0,0,0,0,0,0,0,0,0,0,0,0,0.00098356,0.00098508,0,0,0,0,0,0,0,0,0,0,0,0
sp3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014128,0.00014144,0,0,0,0.00028313,0.00056625,0
sp3098,0,0.00154646,0,0.00028133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3099,0,0,0,0.000844,0,0,0,0,0,0,0,0.00014045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3100,0,0,0,0,0,0,0.0004217,0.00196657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0.00056577,0,0.00028373,0,0.00014156,0,0.00014134
sp3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0,0,0,0,0,0,0
sp3103,0,0,0,0,0,0,0.00056227,0.00014047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028289,0.00028329,0.00028373,0.00028325,0,0,0
sp3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3106,0,0,0.00154646,0,0,0,0,0,0.00028121,0.00056259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0.00014144,0.00014164,0,0.00028325,0,0,0
sp3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042433,0.00056657,0.00014186,0,0,0,0
sp3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
