,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297198,0.00255864,0.00423849,0.00367751,0.00311615,0.00212796,0.00283246,0.00184032,0.00226501,0.00254417
sp43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297198,0.00383795,0.00113026,0.00240453,0.00113314,0.00127678,0.00084974,0.00084938,0.0011325,0.0009894
sp44,0,0,0,0,0,0,0.01208884,0.03385307,0,0.00014065,0,0,0,0,0.03457484,0.02724719,0,0,0,0,0,0,0,0,0,0
sp45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594396,0.00369581,0.00183668,0.00424328,0.00212465,0.00411406,0.00424869,0.0011325,0.00268969,0.00268551
sp46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240589,0.00099502,0.01144391,0.00367751,0.0072238,0.0075188,0.00764764,0.0148641,0.0060872,0.01144876
sp47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127371,0.00113717,0.00028257,0.0009901,0.00028329,0.00070932,0.00099136,0.00056625,0.00070781,0.00042403
sp48,0.00028141,0,0.00028118,0,0,0,0,0,0.00646794,0.00295359,0.00070244,0,0,0.00028145,0,0,0,0,0,0,0,0,0,0,0,0
sp49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467025,0.00326937,0.01130263,0.00735502,0.0082153,0.00567456,0.00594817,0.00750283,0.00764439,0.00876325
sp50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424568,0.00469083,0.00381464,0.00226308,0.00354108,0.00269542,0.00311571,0.00127407,0.00254813,0.00240283
sp51,0.02307584,0.02108815,0.0113876,0,0,0,0,0,0.01392013,0.01350211,0.00084293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp52,0,0,0,0.00014067,0,0,0.00238965,0,0,0,0,0,0.00014051,0,0.0186929,0.08904494,0,0,0,0,0,0,0,0,0,0
sp53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396264,0.00341151,0.00367335,0.00452617,0.00339943,0.0055327,0.00878063,0.00353907,0.00707814,0.00522968
sp54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212284,0.0018479,0,0.00240453,0.00254958,0.0019861,0.00169948,0,0.00099094,0.00056537
sp55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410416,0.00525942,0.00098898,0.00212164,0.00155807,0.00212796,0.00198272,0.00070781,0.00028313,0.00155477
sp56,0.00872379,0.02080697,0.0113876,0.00211,0.00224845,0.00070294,0.00014057,0,0.0208099,0.01842475,0.00856982,0.00294944,0.00126458,0.00070363,0.00014055,0,0,0,0,0,0,0,0,0,0,0
sp57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084914,0.00127932,0.00014128,0.00028289,0.00014164,0.00056746,0.00042487,0,0.00014156,0
sp58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141523,0.00071073,0,0,0.00127479,0,0.00014162,0.00014156,0.00169875,0
sp59,0,0,0,0,0,0.13805708,0,0,0,0,0,0,0.00014051,0.00197017,0,0,0,0,0,0,0,0,0,0,0,0
sp60,0.01786971,0.01644876,0.01082525,0,0,0,0,0,0.02095051,0.02728551,0,0,0,0,0,0,0.00042457,0.00028429,0.00014128,0,0,0.00028373,0.00070811,0.00014156,0,0.00014134
sp61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523634,0.00525942,0.00014128,0.00367751,0.0029745,0.00283728,0.00396544,0.00155719,0.0038222,0.00409894
sp62,0.00014071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268893,0.00255864,0.00240181,0.0009901,0.00155807,0.00425592,0.00311571,0.00155719,0.00155719,0.00113074
sp63,0.00239201,0.00182764,0,0,0,0,0,0,0.00253093,0.00154712,0,0,0,0,0,0,0.00396264,0.00170576,0.00028257,0.00311174,0.00254958,0.00468152,0.00580654,0.00141563,0.00254813,0.00042403
sp64,0.01167863,0.00998172,0.01602699,0.00323534,0.00267004,0,0,0,0.01096738,0.01434599,0.0075864,0.00210674,0.00042153,0,0.00014055,0,0,0,0,0,0,0,0,0,0,0
sp65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018398,0.00142146,0.00042385,0.00183876,0.00169972,0.00042559,0.00127461,0,0.00042469,0.0009894
sp66,0,0,0,0,0,0.01785463,0,0,0,0,0,0,0.00927357,0.03405573,0.00056219,0,0,0,0,0,0,0,0,0,0,0
sp67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141523,0.00113717,0.00791184,0.00226308,0.00325779,0.00397219,0.00325733,0.00481314,0.00637033,0.0059364
sp68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410416,0.0021322,0.00183668,0.00183876,0.00155807,0.00113491,0.00127461,0.00099094,0.00226501,0.00226148
sp69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410416,0.00298507,0.00014128,0.00113154,0.00070822,0.00056746,0.00127461,0.00056625,0.00099094,0.00028269
sp70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155675,0.00113717,0.00381464,0.00268741,0.00283286,0.00283728,0.00481518,0.00537939,0.00594564,0.00424028
sp71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424568,0.00227434,0.00240181,0.00480905,0.00467422,0.00383033,0.00509843,0.00028313,0.0038222,0.00438163
sp72,0.00365836,0,0.00042176,0,0.00014053,0,0,0,0,0,0,0.00070225,0.00056203,0,0,0,0,0,0,0,0,0,0,0,0,0
sp73,0.03025186,0.02586813,0.00253058,0,0,0,0,0,0.02798088,0.02742616,0,0,0,0,0.0002811,0,0,0,0,0,0,0,0,0,0,0
sp74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014152,0.00099502,0.00014128,0.00084866,0.00070822,0.00028373,0.00028325,0,0.00014156,0.00014134
sp75,0.01604052,0.01180936,0.01377759,0.00225067,0.0019674,0,0,0,0.01560742,0.01518987,0.00856982,0.00323034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268893,0.00170576,0.00014128,0.00240453,0.00184136,0.00255355,0.00339895,0.00042469,0.00155719,0.00042403
