,Sp22Columbia,Sp22upperColumbia,Sp22Willamette,Fa23Columbia,Fa23Sandy,Fa23Willamette
sp312,0,0,0,0.001837209,0,0.000302326
sp313,0.001069767,0.000883721,0.001383721,0,0.000709302,0
sp314,0.000627907,0.000476744,0.002337209,0.00027907,0.000290698,0
sp315,0.000337209,0.000255814,0.002011628,0.000290698,0.000453488,0.000267442
sp316,0,0,0.000325581,0.000569767,0.000488372,0.001151163
sp317,0,0,0,0.002267442,0,0
sp318,0,0,0,0.000232558,0.000255814,0.001767442
sp319,0.000313953,0.000244186,0.001581395,0.000127907,0.000674419,0.000418605
sp320,0.0015,0,0.001,0,0.000965116,0
sp321,0.000627907,0,0.00072093,0.000546512,0.000674419,0.000453488
sp322,0.000430233,0.000511628,0.00272093,0.000267442,0.000139535,0
sp323,0.00222093,0.002360465,0,0,0,0
sp324,0.000546512,0.000418605,0.002023256,0.000174419,0.000209302,0.000174419
sp325,0.0005,0.000337209,0.001848837,0.000325581,0.000313953,0.00027907
sp326,0.000465116,0,0,0.002093023,0,0
sp327,0.0005,0,0.000430233,0.000209302,0.000151163,0.001430233
sp328,0.000325581,0,0.002581395,0,0.0005,0.000186047
sp329,0.000383721,0,0.002430233,0,0.000348837,0.000383721
sp330,0.000325581,0.000313953,0,0.001034884,0,0.000709302
sp331,0.000232558,0.000127907,0.00105814,0.00022093,0.000383721,0.000848837
sp332,0.00072093,0.000686047,0.001406977,0.000162791,0,0.000534884
sp333,0.000290698,0.000302326,0.000197674,0.001465116,0,0.000232558
sp334,0,0.000116279,0.000267442,0.000372093,0.001104651,0.000581395
sp335,0.001418605,0.00072093,0.000883721,0.000209302,0.000488372,0
sp336,0.000569767,0.000767442,0.000627907,0.000744186,0.000209302,0.000139535
sp337,0,0,0,0.002197674,0,0
sp338,0,0.00022093,0,0,0.002081395,0
sp339,0,0,0.002151163,0,8.13953E-05,0.000930233
sp340,0,0,0,0.001255814,0.000465116,0.00027907
sp341,0.000488372,0.000523256,0.000406977,0.001127907,0,0.000139535
sp342,0,0,0,0.001813953,0.000151163,0
sp343,0.000395349,0,0.002918605,0,0.000255814,0.000151163
sp344,0.000267442,0.000232558,0.00077907,0.000104651,0.001476744,6.97674E-05
sp345,8.13953E-05,0,0.000988372,0.000174419,0.000395349,0.000825581
sp346,0.00055814,0.000255814,0.002325581,0.000325581,8.13953E-05,0
sp347,0,0,0,0.002046512,0,0
sp348,0,0,0,0.001895349,0,0
sp349,0,0,0,0,0.002081395,0
sp350,0.00077907,0.000744186,0.000686047,0.000337209,0.000546512,0.000151163
sp351,0,0,0,0.001802326,0,0.00027907
sp352,0,0,0,0,0.000151163,0.001593023
sp353,0.000627907,0.000627907,0.00105814,0.00022093,0,0.000604651
sp354,0.0005,0.000383721,0.002406977,0.000139535,0.000197674,0
sp355,0.000302326,0.000244186,0.001383721,8.13953E-05,0.000511628,0.000511628
sp356,0.000290698,0.000337209,0.001813953,0.000290698,0.000209302,0.000360465
sp357,0,0,0,0,0.001860465,0.000430233
sp358,0.000581395,0.000709302,0.000302326,0.000848837,0.000139535,0.000313953
sp359,0,0,0,0.000802326,0.000395349,0.00077907
sp360,0.000302326,0.000302326,0.000430233,0.001011628,0,0.000418605
sp361,0.000255814,0.000209302,0.001093023,0,0.001034884,0.00027907
sp362,0,0,0.000116279,0,0.002116279,0
sp363,0,0,0,0,0.002093023,0
sp364,0,0,0,0.001686047,0,0.000372093
sp365,0,0,0,0,0.002034884,0
sp366,0.000244186,0.000906977,0.001081395,0.000511628,0,0.000337209
sp367,0,0,0,0.001453488,0,0.00072093
sp368,0.002244186,0.001906977,0,0,0,0
sp369,0.000383721,0.000267442,0,0.000837209,0,0.000697674
sp370,0.002232558,0.001860465,0,0,0,0
sp371,9.30233E-05,0,0.000360465,0.000244186,0,0.001453488
sp372,0,0,0.000406977,0.000186047,0,0.001395349
sp373,0.000395349,0,0,0.001651163,0,0
sp374,0,0.000418605,0,0.001744186,0,0
sp375,0.000465116,0.00044186,0.000825581,0.000395349,0,0.000709302
sp376,0.000651163,0.000511628,0.000186047,0.000651163,0,0.000755814
sp377,0,0,0,0.001872093,0,0
sp378,0.000290698,0.000197674,0.000151163,0.000313953,0.000244186,0.000918605
sp379,0.000930233,0.003046512,0,0,0,0
sp380,0.001267442,0.000790698,0.00127907,0,0,0.000267442
sp381,0.000755814,0,0.001046512,0,0.000151163,0.001
sp382,0,0,0.000465116,0,0.000255814,0.001395349
sp383,0.001860465,0.002069767,0,0,0,0
sp384,0.000290698,0,0.001651163,0,0.000744186,0.00027907
sp385,0.00077907,0.000686047,0.00055814,0.000139535,0.000546512,0.000104651
sp386,0.000313953,0.000360465,0.000418605,0.000290698,0,0.000988372
sp387,0,0,0,0.00172093,0,0.000197674
sp388,0,0,0,0.001744186,0,0
sp389,0.000395349,0.000430233,0.002372093,0.000255814,0,0
sp390,0,0,0.00022093,0,0.001651163,0.000290698
sp391,0.000313953,0.000104651,0.000313953,0.000290698,9.30233E-05,0.001104651
sp392,0.000162791,5.81395E-05,0.000546512,0.000244186,0,0.001174419
sp393,0.000848837,0.002953488,0,0,0,0
sp394,0.000616279,0.000325581,0.000151163,0.000627907,0,0.000569767
sp395,0.000604651,0.000511628,0.000523256,0.000313953,0.000627907,0.000151163
sp396,5.81395E-05,0,0.000290698,0.000127907,9.30233E-05,0.001383721
sp397,0.00044186,0,0.000732558,0,0.000744186,0.00055814
sp398,0,0,0.000325581,0.000406977,0,0.00122093
sp399,0.000918605,0.000895349,0.000686047,0.000139535,0.000465116,0
sp400,0.000453488,0.000569767,0.000790698,0,0,0.000895349
sp401,0.000186047,0.000209302,0.00077907,3.48837E-05,0.001209302,0.000104651
sp402,0,0.000430233,0,0.001639535,0,0
sp403,0.001534884,0.002081395,0.000127907,0,0,0
